StudentID,Age,Gender,Standard,AttendanceRate,AverageMarks,BehaviorIncidents,Extracurriculars,ParentEducationLevel,DropoutStatus
1,14,F,9,0.76,95,8,0,MiddleSchool,0
2,15,M,10,0.82,83,3,2,Master,0
3,11,F,6,0.81,60,2,1,HighSchool,0
4,14,M,9,0.97,61,0,3,Bachelor,1
5,13,M,8,0.87,77,7,2,Doctorate,0
6,13,M,8,0.68,63,4,1,Master,1
7,14,M,9,0.89,64,3,2,MiddleSchool,0
8,12,F,7,0.95,47,4,4,Bachelor,0
9,11,M,6,0.75,56,0,4,Bachelor,0
10,13,F,8,0.96,86,5,4,Bachelor,0
11,12,M,7,0.92,83,3,1,Master,0
12,14,F,9,0.82,48,5,3,Doctorate,0
13,14,F,9,0.65,60,1,2,Bachelor,0
14,12,M,7,0.98,90,6,1,Bachelor,0
15,11,F,6,0.74,69,0,2,Doctorate,1
16,12,M,7,0.85,90,2,4,HighSchool,0
17,15,F,10,0.69,88,6,0,Doctorate,1
18,11,F,6,0.7,64,6,3,MiddleSchool,1
19,14,M,9,0.99,84,0,4,Master,0
20,13,M,8,0.81,88,5,4,HighSchool,0
21,12,F,7,0.73,92,4,0,Bachelor,0
22,12,F,7,0.88,59,0,1,MiddleSchool,1
23,13,M,8,0.83,56,7,1,MiddleSchool,1
24,11,M,6,0.79,67,5,1,Master,1
25,14,F,9,0.99,94,6,2,HighSchool,0
26,14,M,9,0.76,45,7,0,Bachelor,1
27,14,F,9,0.96,73,6,1,MiddleSchool,0
28,14,F,9,0.92,67,3,3,Doctorate,0
29,13,F,8,0.69,69,3,0,Bachelor,0
30,12,M,7,0.71,43,8,2,Master,0
31,14,M,9,0.6,73,0,2,Doctorate,1
32,11,F,6,0.84,82,4,4,Doctorate,0
33,14,M,9,0.74,61,6,2,HighSchool,0
34,12,F,7,0.86,75,3,3,Bachelor,0
35,13,F,8,0.88,73,1,2,Bachelor,0
36,15,F,10,0.98,57,7,3,Master,0
37,14,F,9,0.77,71,7,4,HighSchool,1
38,14,F,9,0.95,56,2,1,MiddleSchool,0
39,15,M,10,0.7,95,4,0,Master,0
40,13,M,8,0.79,52,2,2,Master,0
41,15,M,10,0.85,50,1,4,Doctorate,0
42,13,M,8,1.0,54,5,2,Doctorate,1
43,13,M,8,0.81,71,7,0,Master,0
44,13,F,8,0.83,53,4,4,Bachelor,1
45,14,F,9,0.7,66,4,4,Doctorate,1
46,11,M,6,0.72,84,0,0,Master,0
47,14,M,9,0.99,63,3,4,MiddleSchool,1
48,14,F,9,0.92,63,7,0,HighSchool,0
49,14,M,9,0.79,76,0,4,HighSchool,0
50,14,F,9,0.65,42,4,1,Master,0
51,11,M,6,0.62,45,7,0,MiddleSchool,0
52,12,M,7,0.8,80,3,2,Master,0
53,11,M,6,1.0,82,0,4,MiddleSchool,0
54,11,F,6,0.7,74,5,1,MiddleSchool,0
55,15,F,10,0.83,83,3,1,MiddleSchool,1
56,15,F,10,0.9,88,8,1,Master,0
57,11,M,6,0.81,66,4,0,Master,1
58,15,F,10,0.86,49,8,1,Doctorate,1
59,13,M,8,0.83,76,2,3,MiddleSchool,0
60,14,M,9,0.62,56,6,1,HighSchool,0
61,12,F,7,0.84,53,4,3,Doctorate,0
62,12,F,7,0.65,49,5,3,HighSchool,0
63,15,M,10,0.86,69,4,2,Master,0
64,11,M,6,0.91,78,1,1,Bachelor,0
65,14,M,9,0.75,63,2,2,MiddleSchool,0
66,15,F,10,0.86,90,1,2,Doctorate,0
67,14,M,9,0.92,73,5,1,Bachelor,0
68,15,F,10,0.78,90,2,0,Doctorate,1
69,15,M,10,0.89,86,7,3,MiddleSchool,0
70,12,M,7,0.69,77,5,2,Doctorate,0
71,12,M,7,0.78,86,5,3,HighSchool,0
72,13,M,8,0.99,60,3,2,Bachelor,0
73,13,M,8,0.77,59,8,0,HighSchool,0
74,13,F,8,0.84,57,4,2,Doctorate,1
75,12,F,7,0.63,93,6,4,Bachelor,0
76,11,F,6,0.89,53,3,2,Master,1
77,13,F,8,0.95,61,5,4,Doctorate,1
78,11,M,6,0.76,70,7,2,Master,0
79,11,M,6,0.62,40,6,3,Master,0
80,15,F,10,0.84,87,4,4,MiddleSchool,1
81,14,F,9,0.61,73,8,2,MiddleSchool,1
82,12,M,7,0.88,63,1,2,Master,0
83,12,F,7,0.99,68,1,3,Master,0
84,15,F,10,0.72,83,5,0,HighSchool,1
85,12,F,7,0.68,86,3,2,HighSchool,0
86,14,F,9,0.84,90,2,1,Master,0
87,15,F,10,0.61,89,2,1,MiddleSchool,0
88,12,M,7,0.93,65,3,0,Doctorate,0
89,11,F,6,0.86,61,7,0,Master,0
90,14,M,9,0.91,85,4,3,Bachelor,0
91,15,M,10,0.97,59,5,4,MiddleSchool,0
92,14,M,9,0.9,92,5,3,HighSchool,0
93,12,F,7,0.94,90,6,0,Bachelor,0
94,13,M,8,0.79,43,1,3,HighSchool,0
95,15,F,10,0.65,84,2,2,Doctorate,0
96,15,F,10,0.72,52,8,2,HighSchool,1
97,11,F,6,0.74,44,3,2,HighSchool,1
98,12,F,7,0.94,59,8,4,Bachelor,0
99,14,M,9,0.93,41,1,2,MiddleSchool,0
100,14,F,9,0.7,80,2,3,Doctorate,0
101,15,M,10,0.89,67,4,2,Doctorate,0
102,11,M,6,0.7,87,0,0,HighSchool,0
103,11,M,6,0.83,46,1,0,HighSchool,1
104,15,M,10,0.95,73,7,3,HighSchool,0
105,12,F,7,0.63,66,7,4,Doctorate,0
106,13,M,8,0.87,45,0,1,MiddleSchool,1
107,12,M,7,0.96,72,1,3,Bachelor,0
108,11,F,6,0.85,90,7,2,Master,1
109,11,M,6,0.72,92,7,2,HighSchool,0
110,15,M,10,0.69,76,5,4,Master,1
111,11,M,6,0.78,85,6,0,Doctorate,0
112,12,M,7,0.76,84,8,2,Doctorate,0
113,13,F,8,0.65,72,7,1,Bachelor,0
114,14,F,9,0.66,88,1,4,Doctorate,0
115,15,F,10,0.8,94,0,0,HighSchool,0
116,15,F,10,0.89,72,8,3,HighSchool,0
117,14,F,9,0.75,60,3,4,Doctorate,0
118,12,M,7,0.81,43,8,3,Master,0
119,11,M,6,0.76,86,0,1,Bachelor,1
120,11,F,6,0.76,73,2,3,HighSchool,0
121,14,F,9,0.65,91,8,2,Doctorate,0
122,15,M,10,0.9,92,8,2,Master,0
123,13,M,8,0.82,58,0,3,Doctorate,0
124,15,F,10,0.75,71,6,0,Bachelor,1
125,11,M,6,0.67,50,0,0,Master,0
126,11,M,6,0.89,61,0,2,HighSchool,0
127,12,F,7,0.93,49,5,4,MiddleSchool,0
128,11,M,6,0.76,68,1,2,Master,0
129,12,F,7,0.9,41,5,2,Bachelor,0
130,15,M,10,0.62,44,0,2,Doctorate,0
131,11,F,6,0.88,92,6,1,HighSchool,1
132,11,M,6,0.86,49,1,3,Doctorate,0
133,11,M,6,0.62,75,0,4,HighSchool,0
134,12,F,7,0.95,64,2,2,Master,0
135,15,M,10,0.99,95,2,4,Master,0
136,11,F,6,0.99,88,5,4,HighSchool,1
137,11,F,6,0.63,70,4,2,MiddleSchool,0
138,12,M,7,0.73,94,3,2,HighSchool,0
139,12,F,7,0.87,56,3,1,Master,0
140,14,F,9,0.7,50,7,2,MiddleSchool,0
141,13,M,8,0.71,53,7,1,MiddleSchool,1
142,14,M,9,0.63,89,6,1,Doctorate,1
143,15,M,10,0.74,50,6,0,HighSchool,0
144,13,M,8,0.95,66,3,2,Doctorate,0
145,15,M,10,0.9,92,3,4,Master,0
146,14,M,9,0.7,95,1,4,HighSchool,0
147,14,F,9,1.0,62,0,3,Bachelor,0
148,14,F,9,0.78,62,5,4,HighSchool,0
149,13,F,8,0.92,65,5,4,HighSchool,0
150,15,F,10,0.91,42,5,4,MiddleSchool,0
151,14,F,9,0.75,53,1,0,Doctorate,1
152,13,M,8,0.72,55,1,0,Master,1
153,15,F,10,0.64,49,6,3,MiddleSchool,1
154,11,M,6,0.93,44,3,0,Doctorate,0
155,14,M,9,0.75,56,5,2,MiddleSchool,1
156,15,M,10,0.64,88,6,3,Bachelor,0
157,13,F,8,0.79,90,2,1,Bachelor,0
158,13,M,8,0.7,89,7,2,MiddleSchool,0
159,12,F,7,0.7,59,0,3,HighSchool,0
160,13,M,8,1.0,48,5,4,Doctorate,1
161,15,F,10,0.89,62,3,4,Doctorate,0
162,13,M,8,0.79,63,4,2,Master,0
163,11,F,6,0.94,58,6,4,Bachelor,0
164,11,M,6,0.98,89,4,1,Master,0
165,12,M,7,0.78,56,1,0,MiddleSchool,1
166,13,F,8,0.85,51,6,4,HighSchool,1
167,11,F,6,0.78,40,6,1,HighSchool,0
168,14,F,9,0.96,63,8,3,MiddleSchool,0
169,15,F,10,0.77,45,1,2,Bachelor,0
170,15,F,10,0.86,60,1,0,Doctorate,1
171,14,F,9,0.65,52,8,3,Bachelor,1
172,14,M,9,0.88,87,8,1,Bachelor,0
173,14,F,9,0.97,42,6,2,HighSchool,0
174,15,M,10,0.82,95,0,3,MiddleSchool,0
175,14,M,9,0.89,52,3,4,MiddleSchool,0
176,13,F,8,0.77,83,5,4,MiddleSchool,0
177,12,M,7,0.74,53,2,0,HighSchool,0
178,14,F,9,0.77,94,1,3,Bachelor,0
179,14,F,9,0.62,40,3,0,MiddleSchool,0
180,11,M,6,0.63,72,7,3,Bachelor,1
181,13,M,8,0.71,68,0,1,Bachelor,0
182,13,M,8,0.8,81,0,4,Bachelor,1
183,13,M,8,0.85,44,5,1,MiddleSchool,0
184,14,M,9,0.99,62,3,3,HighSchool,0
185,12,F,7,0.78,56,4,2,MiddleSchool,0
186,15,F,10,0.98,86,1,0,HighSchool,0
187,15,F,10,0.7,70,4,3,Bachelor,0
188,13,F,8,0.97,76,0,4,Doctorate,0
189,15,M,10,0.87,55,2,0,Master,0
190,11,M,6,0.97,51,2,4,Doctorate,0
191,11,F,6,0.71,47,6,3,Doctorate,1
192,15,F,10,0.7,80,3,1,Doctorate,1
193,11,M,6,0.87,77,3,1,Doctorate,0
194,15,F,10,0.65,44,1,4,Bachelor,0
195,15,M,10,0.77,90,2,4,Master,0
